,name,cell_type,pt_position,pt_root_id,soma_x_nm,soma_y_nm,soma_z_nm,found
60,MN_L110_T1R,,"[51635, 88345, 2844]",648518346696751984,222030.5,379883.5,127980.0,
61,MN_L110_T1L,,"[26764, 87606, 2670]",648518346700451942,115085.2,376705.8,120150.0,
62,MN_L111_T1L,,"[23505, 91836, 2730]",648518346700588152,101071.5,394894.8,122850.0,
63,MN_L111_T1R,,"[54437, 89811, 3016]",648518346689973214,234079.09999999998,386187.3,135720.0,
64,MN_L112_T1R,,"[52108, 90029, 2637]",648518346695376963,224064.4,387124.7,118665.0,
65,MN_L112_T1L,,"[22779, 90653, 2486]",648518346703683535,97949.7,389807.89999999997,111870.0,
66,MN_L113_T1R,,"[56097, 90227, 2545]",648518346682508274,241217.09999999998,387976.1,114525.0,
67,MN_L113_T1L,,"[29188, 88984, 2669]",648518346684560481,125508.4,382631.2,120105.0,
68,MN_L114_T1L,,"[18966, 89119, 2534]",648518346684490154,81553.8,383211.7,114030.0,
69,MN_L114_T1R,,"[55014, 88060, 2655]",648518346662603337,236560.19999999998,378658.0,119475.0,
70,MN_L115_T1R,,"[58252, 88943, 2902]",648518346708317560,250483.59999999998,382454.89999999997,130590.0,
71,MN_L115_T1L,,"[17820, 87590, 2464]",648518346683369642,76626.0,376637.0,110880.0,
72,MN_L116_T1R,,"[50961, 89725, 2766]",648518346703664247,219132.3,385817.5,124470.0,
73,MN_L116_T1L,,"[15352, 91783, 2825]",648518346700815480,66013.59999999999,394666.89999999997,127125.0,
74,MN_L117_T1L,,"[15452, 91558, 2651]",648518346696638054,66443.59999999999,393699.39999999997,119295.0,
75,MN_L117_T1R,,"[61648, 90977, 2725]",648518346699540543,265086.39999999997,391201.1,122625.0,
76,MN_L118_T1L,,"[13986, 90610, 2805]",648518346716451930,60139.799999999996,389623.0,126225.0,
77,MN_L118_T1R,,"[57401, 86881, 2238]",648518346701817256,246824.3,373588.3,100710.0,
78,MN_L119_T1R,,"[52610, 85976, 2897]",648518346672938187,226223.0,369696.8,130365.0,
79,MN_L119_T1L,,"[14242, 91889, 2882]",648518346684653665,61240.6,395122.7,129690.0,
80,MN_L120_T1L,,"[16326, 90435, 2698]",648518346684192426,70201.8,388870.5,121410.0,
81,MN_L201_T1R,,"[46927, 85388, 2543]",648518346708311160,201786.1,367168.39999999997,114435.0,
82,MN_L202_T1R,,"[52534, 88655, 2584]",648518346658525001,225896.19999999998,381216.5,116280.0,
83,MN_L203_T1R,,"[55843, 88497, 2179]",648518346736009179,240124.9,380537.1,98055.0,
84,MN_L204_T1R,,"[53993, 89622, 2196]",648518346699524671,232169.9,385374.6,98820.0,
85,MN_Ll301_T1R,,"[53838, 88150, 2407]",648518346697521727,231503.4,379045.0,108315.0,
86,MN_L302_T1L,,"[15025, 92118, 2727]",648518346711451994,64607.5,396107.39999999997,122715.0,
87,MN_L201_T1L,,"[29858, 87376, 2765]",648518346699427753,128389.4,375716.8,124425.0,
88,MN_L202_T1L,,"[13932, 91818, 2387]",648518346702754424,59907.6,394817.39999999997,107415.0,
89,MN_L203_T1L,,"[14230, 91313, 2528]",648518346710899802,61189.0,392645.89999999997,113760.0,
90,MN_L204_T1L,,"[26129, 89938, 2100]",648518346696524390,112354.7,386733.39999999997,94500.0,
91,MN_L301_T1L,,"[23765, 91637, 2483]",648518346725378493,102189.5,394039.1,111735.0,
92,MN_L302_T1R,,"[52001, 86333, 2743]",648518346707740280,223604.3,371231.89999999997,123435.0,
93,MN_L303_T1R,,"[48538, 84219, 1962]",648518346691199585,208713.4,362141.7,88290.0,
94,MN_L303_T1L,,"[25239, 86800, 1848]",648518346697603686,108527.7,373240.0,83160.0,
95,MN_L304_T1R,,"[52767, 86951, 2487]",648518346725166405,226898.09999999998,373889.3,111915.0,
96,MN_L304_T1L,,"[26335, 85449, 1934]",648518346696438630,113240.5,367430.7,87030.0,
97,MN_L305_T1R,,"[53178, 84262, 2372]",648518346681322738,228665.4,362326.6,106740.0,
98,MN_L305_T1L,,"[25292, 88266, 2123]",648518346711022426,108755.59999999999,379543.8,95535.0,
99,MN_L401_T1R,,"[49394, 89755, 2660]",648518346699540799,212394.19999999998,385946.5,119700.0,
100,MN_L401_T1L,,"[25366, 89249, 2453]",648518346725338813,109073.79999999999,383770.7,110385.0,
101,MN_L501_T1R,,"[60830, 108620, 1721]",648518346693246430,261569.0,467066.0,77445.0,
102,MN_L501_T1L,,"[16552, 109651, 1364]",648518346711451994,71173.59999999999,471499.3,61380.0,
103,MN_V101_T1L,,"[19263, 90022, 2155]",648518346696541798,82830.9,387094.6,96975.0,
104,MN_V101_T1R,,"[55830, 89982, 2400]",648518346679863282,240069.0,386922.6,108000.0,
105,MN_V102_T1L,,"[17632, 86321, 2265]",648518346682527146,75817.59999999999,371180.3,101925.0,
106,MN_V102_T1R,,"[54616, 85905, 2127]",648518346725166405,234848.8,369391.5,95715.0,
107,MN_V103_T1L,,"[23983, 87237, 1874]",648518346725597443,103126.9,375119.1,84330.0,
108,MN_V103_T1R,,"[54536, 90225, 2333]",648518346670637324,234504.8,387967.5,104985.0,
109,MN_V201_T1L,,"[22701, 91045, 1692]",648518346676222706,97614.3,391493.5,76140.0,
110,MN_V201_T1R,,"[51167, 90285, 1680]",648518346700768680,220018.09999999998,388225.5,75600.0,
111,MN_V202_T1L,,"[24901, 92075, 1586]",648518346673801369,107074.29999999999,395922.5,71370.0,
112,MN_V202_T1R,,"[53634, 90750, 1823]",648518346725166405,230626.19999999998,390225.0,82035.0,
113,MN_V401_T1R,,"[51491, 84167, 1836]",648518346666514616,221411.3,361918.1,82620.0,
114,MN_V401_T1L,,"[17144, 89099, 2005]",648518346701537126,73719.2,383125.7,90225.0,
115,MN_V402_T1R,,"[50618, 85421, 2234]",648518346681726194,217657.4,367310.3,100530.0,
116,MN_V402_T1L,,"[23167, 87333, 2184]",648518346680460455,99618.09999999999,375531.89999999997,98280.0,
117,MN_V501_T1L,,"[27494, 86790, 2515]",648518346661954522,118224.2,373197.0,113175.0,
118,MN_V501_T1R,,"[54883, 84397, 2319]",648518346666755657,235996.9,362907.1,104355.0,
119,MN_V601_T1R,,"[49727, 85190, 2264]",648518346662417225,213826.09999999998,366317.0,101880.0,
120,MN_V601_T1L,,"[21122, 88740, 2060]",648518346705861496,90824.59999999999,381582.0,92700.0,
