,pre_id,pre_pt,post_id,post_pt,pre_roots,post_roots
726609,73468749902421962,[ 43305 114337   2792],73468749902424273,[ 43311 114321   2791],648518346706280104,648518346706280104
726618,73468749902426586,[ 43345 114329   2792],73468749902419532,[ 43321 114311   2793],648518346721543099,648518346706280104
782271,73046400132432817,[ 30617 109621   2995],73046400132437766,[ 30641 109599   2996],648518346699240806,648518346706280104
782282,73046400132445682,[ 30641 109663   2992],73046400132435366,[ 30677 109649   2992],648518346699240806,648518346706280104
843133,72976374784351710,[ 29211 119897   2636],72976374784351710,[ 29233 119905   2636],648518346706280104,648518346706280104
843134,72976374784323313,[ 29197 119835   2615],72976374784351700,[ 29235 119821   2614],648518346722776251,648518346706280104
843135,72976374784323313,[ 29199 119843   2617],72976374784351700,[ 29237 119839   2617],648518346722776251,648518346706280104
843151,72976374784362692,[ 29441 119859   2628],72976374784341978,[ 29453 119851   2627],648518346662146121,648518346706280104
918643,72976168558921316,[ 28205 113711   2534],72976168558945809,[ 28245 113713   2535],648518346693548510,648518346706280104
918729,72976168558958737,[ 28421 113987   2543],72976168558968706,[ 28427 113957   2543],648518346680495602,648518346706280104
967234,72905800016050690,[ 26647 113857   2910],72905800016039786,[ 26669 113831   2910],648518346692964557,648518346706280104
967241,72905800016050690,[ 26657 113887   2909],72905800016039786,[ 26691 113861   2909],648518346692964557,648518346706280104
967246,72905800016053314,[ 26667 113871   2912],72905800016039786,[ 26701 113847   2912],648518346692964557,648518346706280104
967361,72905800016050609,[ 26971 113817   2907],72905800016039798,[ 26959 113855   2907],648518346704620712,648518346706280104
967377,72905800016050610,[ 27033 113835   2907],72905800016031860,[ 27031 113867   2907],648518346704620712,648518346706280104
967440,72905800016157547,[ 27207 114299   2947],72905800016141467,[ 27223 114261   2949],648518346688687457,648518346706280104
967441,72905800016157547,[ 27205 114301   2946],72905800016141467,[ 27215 114271   2946],648518346688687457,648518346706280104
967450,72905800016133932,[ 27269 114281   2942],72905800016141473,[ 27241 114273   2943],648518346661985353,648518346706280104
967514,72905800083021137,[ 27449 114133   2982],72905800082999467,[ 27493 114123   2983],648518346706450600,648518346706280104
978368,72976305998054076,[ 28919 119379   2589],72976305998228076,[ 28931 119355   2591],648518346721543099,648518346706280104
978499,72976306064869506,[ 29079 119413   2606],72976306064858207,[ 29097 119379   2606],648518346722142395,648518346706280104
978802,72976306064844313,[ 29483 119563   2602],72976306064848574,[ 29515 119583   2602],648518346662456649,648518346706280104
978925,73116768742640397,[ 32881 110191   2838],73116768742673438,[ 32895 110217   2839],648518346703051824,648518346706280104
979047,73116768742632554,[ 33099 109969   2827],73116768742650906,[ 33107 109937   2828],648518346703051824,648518346706280104
979057,73116768742667782,[ 33103 109863   2830],73116768742659952,[ 33127 109897   2830],648518346661992009,648518346706280104
979058,73116768809286647,[ 33087 110049   2860],73116768809377632,[ 33121 110031   2861],648518346696720703,648518346706280104
979069,73116768742667782,[ 33101 109867   2833],73116768742659952,[ 33147 109861   2834],648518346661992009,648518346706280104
979110,73116768809285662,[ 33189 110131   2858],73116768809504899,[ 33173 110097   2858],648518346661992009,648518346706280104
979117,73116768742620166,[ 33145 110375   2825],73116768742630244,[ 33173 110355   2825],648518346713911656,648518346706280104
979143,73116768742660237,[ 33229 110231   2837],73116768742673529,[ 33205 110257   2838],648518346731240155,648518346706280104
979172,73116768742614880,[ 33221 110343   2817],73116768742630244,[ 33235 110369   2819],648518346703051824,648518346706280104
979178,73116768742656611,[ 33249 109829   2838],73116768742698151,[ 33251 109867   2838],648518346696717887,648518346706280104
979184,73116768742614880,[ 33225 110345   2817],73116768742630244,[ 33247 110367   2818],648518346703051824,648518346706280104
979201,73116768809502178,[ 33289 109995   2859],73116768809510665,[ 33263 110003   2861],648518346738515931,648518346706280104
979204,73116768809502178,[ 33295 109993   2860],73116768809510665,[ 33265 109995   2862],648518346738515931,648518346706280104
